path,sha256,lines,static_check,error,semantic_review
MuJoCo_G1_Controller/scripts/export_g1_mink_fk_reference.py,48576cf30900f3656404074f6dbd5525815d5757b5762cf9322bc80073d92dcc,79,python_ast_pass,,full_text_review
MuJoCo_G1_Controller/scripts/g1_mink_feasible_target.py,de382bd302cfb4846d5ae88dbfd3ff8472922e0b31413bf035a8158f8598bbcd,172,python_ast_pass,,full_text_review
MuJoCo_G1_Controller/scripts/g1_right_arm_common.py,aa490bdc7b17844bcb97d2d17fd0f23d91185ac63ac7a4c6265844602f2ad01d,413,python_ast_pass,,full_text_review
MuJoCo_G1_Controller/scripts/run_mink_g1_right_arm_prototype.py,4dca1640414f96f821b4479b12301cf684559b64da4cefb5a132fe7ef8744bb2,812,python_ast_pass,,full_text_review
MuJoCo_G1_Controller/scripts/run_mink_g1_right_arm_virtual_center_live.py,6e172b0e32736cdffbf0ab63ad09d9fe41aeab7c08e3be98a82ef5a798534ce5,1052,python_ast_pass,,full_text_review
MuJoCo_G1_Controller/scripts/test_mink_wrist_frame_contract.py,5f8fc9463b9ba309e2ea823d7c58e47929e1e337e605a3202d812192dfbc0189,99,python_ast_pass,,static_only
START_MUJOCO_ONLY.bat,951590ee86d22bf72aaa991e742f6d3c7c985b53bdb42cbcf491e3ac6860af95,54,text_read_only,,full_text_review
START_VR_HAND_TO_MUJOCO.bat,6c2f2b34b8f6fea71f86a49318ffdab3247125fd9066b6a35e2d2dbff607071f,198,text_read_only,,full_text_review
Unity_G1_VR/Assets/Editor/G1ExistingSceneSetup.cs,8236aa4fa0c1571a2b8845a32f6cc068a9b904f6b7c9873f5580228d4eec5504,430,text_read_only,,full_text_review
Unity_G1_VR/Assets/Editor/G1MinkFkParityValidator.cs,3a842c8567a36adf43ebae2b0c672f28a1a8c4cf9751c925f7298d400d4ca5cd,134,text_read_only,,full_text_review
Unity_G1_VR/Assets/Editor/G1OfficialModelImporter.cs,3cffcb44a86af0b81eaecc98f5efe6bbf076d22ea0023fad8f0381c21d31dfb2,591,text_read_only,,full_text_review
Unity_G1_VR/Assets/Editor/G1TeleopBatchValidator.cs,089c93a5bf217826cb29dee5bbd85c9723c5193acbcb69d4d8f02883597d4fb3,607,text_read_only,,full_text_review
Unity_G1_VR/Assets/Editor/G1VRBuild.cs,259ee66f4b179c83aad97ff711463242102ccfb1080a0a6112b39e0db60cad89,48,text_read_only,,full_text_review
Unity_G1_VR/Assets/G1Teleop/G1ExistingHandTargetBinder.cs,f3633d9735fb27eb49368bd732f922c6c330370c79ca8c78b93af3b724c1e726,893,text_read_only,,full_text_review
Unity_G1_VR/Assets/G1Teleop/G1ExistingTargetUdpSender.cs,9c3a6df293858eced4730cae02be68db5279bc186fb86f85d85a1662b0ae24e5,521,text_read_only,,full_text_review
Unity_G1_VR/Assets/G1Teleop/G1HandUdpDiagnostics.cs,b8c0c519b3e0f2d5f24192d813deb866a271f7f548207f6bc250394e599b33ba,98,text_read_only,,full_text_review
Unity_G1_VR/Assets/G1Teleop/G1HeadCameraPiP.cs,1f97d7b66ae04ed0a227a882ebba819682723e5cce12d45a98d4fb183e19cc2e,628,text_read_only,,full_text_review
Unity_G1_VR/Assets/G1Teleop/G1HeadLockedCamera.cs,36ecd4c8050c05a9e73cbfdab39552f74593cefc31011314a1c3cab9f294103b,265,text_read_only,,full_text_review
